Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -9 ; 6 ),\quad B ( 2 ; -8 ),\quad C ( 0 ; -4 ),\quad D ( 0 ; 8 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 7 ; -7 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 8 ; 8 ),\quad B ( 4 ; 5 ),\quad C ( -9 ; 3 ),\quad D ( 7 ; 2 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 4 ; 3 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 7 ; -2 ),\quad B ( 1 ; 6 ),\quad C ( -6 ; -5 ),\quad D ( 6 ; -5 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 8 ; 1 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -5 ; 9 ),\quad B ( -9 ; 8 ),\quad C ( 5 ; -6 ),\quad D ( 4 ; -8 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -7 ; -1 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 2 ; -2 ),\quad B ( -1 ; -3 ),\quad C ( -2 ; -3 ),\quad D ( 2 ; 5 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -3 ; -4 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -8 ; 0 ),\quad B ( -5 ; -2 ),\quad C ( 5 ; 0 ),\quad D ( 5 ; -7 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -4 ; 0 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -7 ; 8 ),\quad B ( 4 ; 8 ),\quad C ( -2 ; 0 ),\quad D ( -9 ; -3 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 6 ; 0 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -9 ; 0 ),\quad B ( -8 ; -7 ),\quad C ( 1 ; 1 ),\quad D ( 2 ; -5 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 0 ; -4 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -3 ; 3 ),\quad B ( 0 ; -6 ),\quad C ( 6 ; 1 ),\quad D ( -4 ; 1 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 6 ; -9 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 4 ; 2 ),\quad B ( 5 ; 2 ),\quad C ( 7 ; -2 ),\quad D ( -4 ; 1 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 4 ; -9 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -2 ; -8 ),\quad B ( 9 ; 5 ),\quad C ( -5 ; -8 ),\quad D ( 1 ; 5 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -4 ; -4 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 5 ; -4 ),\quad B ( -7 ; -1 ),\quad C ( 9 ; 9 ),\quad D ( -5 ; 4 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 8 ; -4 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 7 ; -2 ),\quad B ( 8 ; -4 ),\quad C ( 1 ; 0 ),\quad D ( 1 ; -1 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -6 ; 6 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -1 ; 2 ),\quad B ( -2 ; -4 ),\quad C ( 8 ; -7 ),\quad D ( -5 ; 2 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -3 ; 9 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -3 ; 1 ),\quad B ( 7 ; 5 ),\quad C ( -5 ; 7 ),\quad D ( -7 ; -6 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -8 ; -9 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -4 ; 5 ),\quad B ( 6 ; 7 ),\quad C ( -6 ; 9 ),\quad D ( -9 ; 2 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 3 ; -1 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 4 ; 4 ),\quad B ( 3 ; 6 ),\quad C ( -2 ; -5 ),\quad D ( -4 ; -1 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 4 ; -5 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 3 ; -4 ),\quad B ( -4 ; -2 ),\quad C ( 3 ; -6 ),\quad D ( -5 ; 2 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -3 ; -3 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 8 ; -9 ),\quad B ( 8 ; 2 ),\quad C ( -5 ; -1 ),\quad D ( -3 ; 2 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 2 ; 8 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 6 ; 1 ),\quad B ( 1 ; -8 ),\quad C ( 2 ; 7 ),\quad D ( -3 ; 8 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -1 ; 9 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 1 ; 7 ),\quad B ( -4 ; 8 ),\quad C ( -8 ; -9 ),\quad D ( -3 ; -4 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 0 ; 0 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -1 ; -8 ),\quad B ( -1 ; 7 ),\quad C ( 1 ; -3 ),\quad D ( -7 ; 6 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 0 ; -7 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -4 ; -4 ),\quad B ( 0 ; -2 ),\quad C ( -1 ; -7 ),\quad D ( -1 ; 5 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -1 ; -1 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 9 ; 7 ),\quad B ( -9 ; -8 ),\quad C ( 6 ; 8 ),\quad D ( 4 ; 6 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -9 ; 3 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 3 ; -9 ),\quad B ( 6 ; -8 ),\quad C ( -8 ; -3 ),\quad D ( 9 ; -5 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 4 ; -2 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -1 ; 9 ),\quad B ( 3 ; -5 ),\quad C ( 5 ; -8 ),\quad D ( 9 ; 8 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -1 ; 5 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -9 ; -7 ),\quad B ( 9 ; -7 ),\quad C ( -5 ; 4 ),\quad D ( -8 ; -2 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -7 ; 3 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -5 ; -9 ),\quad B ( -2 ; 2 ),\quad C ( 9 ; 5 ),\quad D ( -9 ; 1 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 6 ; 3 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -1 ; 2 ),\quad B ( 3 ; 3 ),\quad C ( 3 ; -2 ),\quad D ( -2 ; -4 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -1 ; -7 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -3 ; -1 ),\quad B ( -1 ; -3 ),\quad C ( -9 ; 9 ),\quad D ( -6 ; -8 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 2 ; -7 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 7 ; 4 ),\quad B ( -9 ; 0 ),\quad C ( -5 ; -2 ),\quad D ( -6 ; 2 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -8 ; -5 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 6 ; 6 ),\quad B ( 4 ; -7 ),\quad C ( -3 ; 0 ),\quad D ( 2 ; -9 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 0 ; 0 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 8 ; -9 ),\quad B ( -4 ; -2 ),\quad C ( 9 ; 2 ),\quad D ( 4 ; 1 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 4 ; -4 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -3 ; -4 ),\quad B ( -8 ; -7 ),\quad C ( -7 ; -1 ),\quad D ( 2 ; -9 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -9 ; -4 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -3 ; -7 ),\quad B ( -5 ; 9 ),\quad C ( -7 ; -1 ),\quad D ( -6 ; 4 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -2 ; -1 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -5 ; 6 ),\quad B ( 5 ; 6 ),\quad C ( 7 ; -2 ),\quad D ( 1 ; -6 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 1 ; -2 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 5 ; -4 ),\quad B ( -2 ; 2 ),\quad C ( -7 ; 4 ),\quad D ( 0 ; -7 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( 5 ; -1 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( -3 ; -5 ),\quad B ( 6 ; -5 ),\quad C ( -2 ; 4 ),\quad D ( 3 ; 2 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -2 ; -9 )$?
Составьте систему неравенств, задающую внутренность многоугольника с вершинами $$ A ( 2 ; -8 ),\quad B ( 2 ; -2 ),\quad C ( -8 ; -7 ),\quad D ( 8 ; 7 ). $$ Принадлежит ли внутренности этого многоугольника точка $E ( -1 ; -1 )$?
